Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,21.799999,22.270000,21.059999,21.280001,21.047424,131382600
2022-11-29,21.320000,21.420000,20.469999,20.770000,20.542997,137902700
2022-11-30,20.850000,23.650000,20.650000,23.559999,23.302505,272734900
2022-12-01,23.700001,24.170000,23.010000,23.690001,23.431086,205503600
2022-12-02,22.450001,23.629999,22.389999,23.410000,23.154144,181655000
2022-12-05,22.879999,23.200001,21.860001,22.230000,21.987040,150990000
2022-12-06,22.180000,22.209999,20.500000,20.820000,20.592451,169900500
2022-12-07,20.559999,21.030001,20.180000,20.570000,20.345184,173667900
2022-12-08,20.870001,21.500000,20.389999,21.299999,21.067205,188920100
2022-12-09,21.049999,21.690001,20.770000,20.889999,20.661684,177003900
2022-12-12,20.910000,21.660000,20.670000,21.650000,21.413380,112827500
2022-12-13,24.180000,24.230000,21.719999,22.330000,22.085947,347692800
2022-12-14,22.209999,22.990000,21.080000,21.799999,21.561739,289455500
2022-12-15,20.860001,21.030001,19.350000,19.639999,19.425346,214026600
2022-12-16,19.480000,19.809999,18.709999,19.059999,18.851685,175642100
2022-12-19,19.100000,19.129999,17.980000,18.270000,18.070322,155266500
2022-12-20,18.000000,18.559999,17.670000,18.190001,17.991198,172881200
2022-12-21,18.410000,19.250000,18.230000,18.980000,18.772560,163187300
2022-12-22,18.230000,18.250000,16.580000,17.540001,17.438339,230450200
2022-12-23,17.209999,17.719999,16.830000,17.590000,17.488049,165067300
2022-12-27,17.459999,17.480000,16.719999,16.840000,16.742395,131600300
2022-12-28,16.750000,17.200001,16.100000,16.160000,16.066338,182434600
2022-12-29,16.670000,17.500000,16.530001,17.299999,17.199730,153054900
2022-12-30,16.760000,17.299999,16.500000,17.299999,17.199730,150970600
2023-01-03,17.740000,18.040001,16.469999,16.910000,16.811991,179925900
2023-01-04,17.330000,17.490000,16.540001,17.170000,17.070484,217636400
2023-01-05,16.809999,16.850000,16.280001,16.360001,16.265179,181252000
2023-01-06,16.650000,17.900000,16.100000,17.639999,17.537758,233447600
2023-01-09,18.080000,18.959999,17.889999,18.010000,17.905615,186021400
2023-01-10,17.820000,18.490000,17.700001,18.490000,18.382833,164361500
2023-01-11,18.680000,19.430000,18.520000,19.410000,19.297501,151275000
2023-01-12,19.520000,19.920000,18.590000,19.709999,19.595760,280926300
2023-01-13,19.170000,20.170000,19.100000,20.100000,19.983501,159783000
2023-01-17,20.059999,20.510000,19.809999,20.209999,20.092863,139757900
2023-01-18,20.580000,20.910000,19.389999,19.459999,19.347210,186650100
2023-01-19,19.070000,19.309999,18.580000,18.850000,18.740747,166370700
2023-01-20,19.180000,20.450001,18.959999,20.389999,20.271820,161325200
2023-01-23,20.549999,22.000000,20.379999,21.730000,21.604053,194042100
2023-01-24,21.360001,21.870001,21.240000,21.600000,21.474808,145006500
2023-01-25,20.559999,21.590000,19.980000,21.440001,21.315735,218083600
2023-01-26,22.219999,22.719999,21.600000,22.680000,22.548548,203418900
2023-01-27,22.360001,23.820000,22.330000,23.330000,23.194780,188411100
2023-01-30,22.549999,22.900000,21.850000,21.930000,21.802895,173908000
2023-01-31,21.940001,22.920000,21.900000,22.910000,22.777214,158256900
2023-02-01,22.860001,24.950001,22.360001,24.389999,24.248636,271638800
2023-02-02,25.959999,27.450001,25.750000,26.910000,26.754030,267885100
2023-02-03,25.209999,27.139999,25.110001,25.520000,25.372087,267404200
2023-02-06,24.850000,25.450001,24.520000,24.870001,24.725855,161816200
2023-02-07,24.830000,26.690001,24.540001,26.410000,26.256929,259894600
2023-02-08,26.049999,26.299999,24.809999,24.990000,24.845160,181257200
2023-02-09,26.049999,26.090000,23.930000,24.320000,24.179043,197598400
2023-02-10,23.760000,24.260000,23.219999,23.820000,23.681940,183931700
2023-02-13,24.139999,25.100000,23.850000,24.950001,24.805391,139869900
2023-02-14,24.540001,25.740000,24.049999,25.490000,25.342260,255737200
2023-02-15,25.020000,26.100000,24.850000,26.059999,25.908957,137763700
2023-02-16,24.830000,25.870001,24.530001,24.570000,24.427593,194496500
2023-02-17,24.030001,24.230000,23.299999,24.040001,23.900665,194902400
2023-02-21,23.100000,23.450001,22.290001,22.350000,22.220461,150468800
2023-02-22,22.450001,22.850000,21.980000,22.370001,22.240345,167338700
2023-02-23,23.190001,23.230000,21.950001,22.930000,22.797098,179770000
2023-02-24,21.750000,22.030001,21.350000,21.770000,21.643822,172781800
2023-02-27,22.480000,22.799999,22.100000,22.240000,22.111097,138754400
2023-02-28,22.080000,22.719999,22.000000,22.129999,22.001734,127315800
2023-03-01,22.059999,22.209999,21.370001,21.590000,21.464865,154386900
2023-03-02,21.010000,22.299999,20.950001,22.110001,21.981852,157937300
